auth_token,nSchemeId,nPredeterminedPointId,nPressure,nTotalPressure,dUpdateDate
uwsp21xcdf654$#^nic,2028,101,10.2,11.7,2023-12-28 16:18:31
uwsp21xcdf654$#^nic,2028,101,18.6,20.0,2023-12-28 16:18:31
uwsp21xcdf654$#^nic,2028,102,20.2,22.2,2023-12-28 16:18:32
uwsp21xcdf654$#^nic,2028,104,16.5,21.6,2023-12-28 16:18:32
uwsp21xcdf654$#^nic,2028,105,20.1,22.0,2023-12-28 16:18:32
uwsp21xcdf654$#^nic,2028,107,16.7,19.0,2023-12-28 16:18:32
uwsp21xcdf654$#^nic,2028,109,17.8,18.9,2023-12-28 16:18:32
uwsp21xcdf654$#^nic,2028,162,19.9,18.5,2023-12-28 16:18:32
uwsp21xcdf654$#^nic,2028,163,18.7,18.9,2023-12-28 16:18:32
uwsp21xcdf654$#^nic,2028,164,19.3,20.4,2023-12-28 16:18:33
